Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777762613,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777762614,10,,Aggregated,0.000000,0.000000,110,120,120,120,120,120,120,120,120,120,120,16,0,110,83.46448749762203,14.863799995509908,122.59199999971315,599.9375
1777762615,20,,Aggregated,0.000000,0.000000,78,120,120,140,150,150,150,150,150,150,150,46,0,76,84.04454347802802,13.54709999577608,154.37060000840575,680.0434782608696
1777762616,40,,Aggregated,14.000000,0.000000,79,120,140,150,200,210,210,220,220,220,220,88,0,78,94.03489659052866,10.601100002531894,215.5724000040209,672.9090909090909
1777762617,50,,Aggregated,20.000000,0.000000,78,120,140,150,200,210,230,230,230,230,230,139,0,78,95.50975683407368,10.601100002531894,233.24349999893457,684.4460431654676
1777762618,50,,Aggregated,27.333333,0.000000,110,150,200,210,330,470,490,560,580,580,580,195,0,110,144.5772261537898,10.601100002531894,579.3063000019174,681.7692307692307
1777762619,50,,Aggregated,32.250000,0.000000,110,150,200,210,330,410,490,520,580,580,580,249,0,110,138.9121742971451,10.601100002531894,579.3063000019174,692.1285140562248
1777762620,50,,Aggregated,37.400000,0.000000,120,200,260,310,470,560,680,700,740,740,740,296,0,120,183.99026486489723,10.601100002531894,736.7114999942714,687.6013513513514
1777762621,50,,Aggregated,40.666667,0.000000,150,230,330,380,540,690,770,800,990,990,990,344,0,140,221.91114447674028,10.601100002531894,985.4751999955624,687.2093023255813
1777762622,50,,Aggregated,42.000000,0.000000,160,230,310,380,500,680,750,790,990,990,990,403,0,160,220.90832729525337,10.601100002531894,985.4751999955624,692.4565756823821
1777762623,50,,Aggregated,42.625000,0.000000,150,210,290,340,490,670,750,790,990,990,990,459,0,150,209.04096601316468,10.601100002531894,985.4751999955624,698.3420479302832
1777762624,50,,Aggregated,42.666667,0.000000,150,230,310,360,490,650,750,790,990,990,990,519,0,150,213.17226088645972,10.601100002531894,985.4751999955624,700.0019267822736
1777762625,50,,Aggregated,45.500000,0.000000,140,210,290,330,480,580,740,790,990,990,990,572,0,140,201.84998671347975,10.601100002531894,985.4751999955624,703.6083916083916
1777762626,50,,Aggregated,49.900000,0.000000,150,230,320,380,540,700,790,830,990,990,990,632,0,150,222.11933449400505,10.213600005954504,985.4751999955624,702.0537974683544
1777762627,50,,Aggregated,52.800000,0.000000,130,210,300,350,510,690,780,830,990,990,990,691,0,130,209.33404341560345,10.213600005954504,985.4751999955624,700.2026049204052
1777762628,50,,Aggregated,53.600000,0.000000,130,200,280,330,490,680,750,830,990,990,990,763,0,130,201.13601284424684,10.213600005954504,985.4751999955624,703.4010484927916
1777762629,50,,Aggregated,55.300000,0.000000,120,190,260,310,490,660,750,800,990,990,990,823,0,120,191.51421676808997,10.213600005954504,985.4751999955624,707.0097205346294
1777762630,50,,Aggregated,55.900000,0.000000,120,180,250,300,480,650,750,800,990,990,990,889,0,120,187.39674330716645,10.213600005954504,985.4751999955624,709.1001124859392
1777762631,50,,Aggregated,56.200000,0.000000,120,200,280,320,480,650,750,800,990,990,990,939,0,120,193.04820425994149,10.213600005954504,985.4751999955624,709.0468583599574
1777762632,50,,Aggregated,58.300000,0.000000,130,200,290,330,480,630,750,790,950,990,990,1001,0,130,196.53851198812052,10.213600005954504,985.4751999955624,707.3066933066933
1777762633,50,,Aggregated,58.900000,0.000000,130,210,300,360,510,670,750,790,950,990,990,1043,0,130,207.3251157239493,10.213600005954504,985.4751999955624,709.5637583892617
1777762634,50,,Aggregated,60.800000,0.000000,130,210,290,340,490,660,750,790,950,990,990,1108,0,130,201.71485072212107,10.213600005954504,985.4751999955624,711.7003610108303
1777762635,50,,Aggregated,56.600000,0.000000,130,200,280,330,490,650,750,790,950,990,990,1163,0,130,196.5895265693204,10.213600005954504,985.4751999955624,712.4299226139295
1777762636,50,,Aggregated,58.300000,0.000000,120,200,280,330,480,630,750,790,950,990,990,1234,0,120,195.07821304707346,10.213600005954504,985.4751999955624,709.7714748784441
1777762637,50,,Aggregated,58.500000,0.000000,120,190,270,310,480,610,750,790,950,990,990,1290,0,120,189.9386593798995,10.213600005954504,985.4751999955624,710.4434108527132
1777762638,50,,Aggregated,58.800000,0.000000,120,190,270,310,470,590,750,780,950,990,990,1348,0,120,188.57340964393947,10.213600005954504,985.4751999955624,709.223293768546
1777762639,50,,Aggregated,58.700000,0.000000,120,180,250,300,460,580,740,780,950,990,990,1407,0,120,183.9200948116109,10.213600005954504,985.4751999955624,709.7569296375267
1777762640,50,,Aggregated,59.000000,0.000000,110,180,240,290,450,570,740,780,950,990,990,1480,0,110,180.18281412155744,10.213600005954504,985.4751999955624,709.1594594594594
1777762641,50,,Aggregated,58.600000,0.000000,110,170,230,290,440,570,740,770,950,990,990,1548,0,110,176.32407751931564,10.213600005954504,985.4751999955624,709.7642118863049
1777762642,50,,Aggregated,58.100000,0.000000,110,170,220,280,430,560,740,770,950,990,990,1598,0,110,173.35206257815986,10.213600005954504,985.4751999955624,711.6902377972466
1777762643,50,,Aggregated,59.000000,0.000000,110,170,220,280,420,560,740,760,950,990,990,1666,0,110,170.83830996397117,10.213600005954504,985.4751999955624,710.2917166866747
1777762644,50,,Aggregated,59.600000,0.000000,100,160,220,270,420,550,740,760,950,990,990,1740,0,100,167.64311787352702,10.213600005954504,985.4751999955624,706.8511494252873
1777762645,50,,Aggregated,62.700000,0.000000,100,160,210,260,410,550,740,750,950,990,990,1803,0,100,164.15366738765826,10.213600005954504,985.4751999955624,705.6655574043261
1777762646,50,,Aggregated,61.900000,0.000000,100,150,200,240,390,540,730,750,950,990,990,1875,0,100,161.11967253331096,9.977499998058192,985.4751999955624,701.7488
1777762647,50,,Aggregated,63.100000,0.000000,97,150,200,240,390,530,730,750,950,990,990,1932,0,96,158.46091635609375,9.977499998058192,985.4751999955624,703.396480331263
1777762648,50,,Aggregated,64.400000,0.000000,96,150,200,230,380,520,720,750,950,990,990,1998,0,96,156.92405235231772,9.977499998058192,985.4751999955624,705.6376376376377
1777762649,50,,Aggregated,64.100000,0.000000,95,150,200,230,380,510,710,750,900,990,990,2057,0,95,154.81226363633283,9.977499998058192,985.4751999955624,706.8561011181332
1777762650,50,,Aggregated,64.000000,0.000000,94,140,190,230,370,510,710,750,900,990,990,2120,0,94,153.33038466973758,9.977499998058192,985.4751999955624,707.0580188679245
1777762651,50,,Aggregated,64.500000,0.000000,94,140,190,230,360,500,700,750,900,990,990,2187,0,94,151.82224339272972,9.977499998058192,985.4751999955624,704.4330132601738
1777762652,50,,Aggregated,64.500000,0.000000,93,140,190,220,350,490,690,750,900,990,990,2257,0,93,150.0240019937437,9.977499998058192,985.4751999955624,703.8378378378378
1777762653,50,,Aggregated,64.200000,0.000000,92,140,180,220,350,490,690,750,900,990,990,2316,0,92,147.9229339809391,9.977499998058192,985.4751999955624,704.9615716753023
1777762654,50,,Aggregated,63.800000,0.000000,91,140,180,210,330,490,690,750,900,990,990,2383,0,91,146.09283017197774,9.977499998058192,985.4751999955624,705.665547629039
1777762655,50,,Aggregated,63.900000,0.000000,90,140,180,210,330,480,690,750,900,990,990,2445,0,90,144.44762384449345,9.977499998058192,985.4751999955624,705.3676891615542
1777762656,50,,Aggregated,64.200000,0.000000,89,130,180,210,330,480,680,750,900,990,990,2509,0,89,143.2811809485191,9.977499998058192,985.4751999955624,705.6883220406537
1777762657,50,,Aggregated,62.900000,0.000000,89,130,180,210,320,480,680,750,900,990,990,2576,0,89,142.48915023286511,9.977499998058192,985.4751999955624,706.0019409937888
1777762658,50,,Aggregated,63.000000,0.000000,88,130,170,210,320,470,670,750,900,990,990,2643,0,88,140.69742455537548,9.977499998058192,985.4751999955624,705.0707529322739
1777762659,50,,Aggregated,63.200000,0.000000,88,130,170,200,310,470,660,740,900,990,990,2707,0,88,140.13613357954188,9.977499998058192,985.4751999955624,705.6076837827853
1777762660,50,,Aggregated,63.600000,0.000000,87,130,170,200,310,460,660,740,900,990,990,2776,0,87,138.59631242789757,9.977499998058192,985.4751999955624,702.9762247838617
1777762661,50,,Aggregated,63.700000,0.000000,87,130,170,200,310,460,650,740,900,990,990,2836,0,87,138.07637373052432,9.977499998058192,985.4751999955624,703.7196755994358
1777762662,50,,Aggregated,63.700000,0.000000,85,130,170,200,300,450,650,740,900,990,990,2900,0,85,136.2338829309587,9.977499998058192,985.4751999955624,705.3431034482759
1777762663,50,,Aggregated,64.400000,0.000000,86,130,170,200,300,450,640,740,900,990,990,2961,0,86,136.00570861185997,9.977499998058192,985.4751999955624,707.0226274907126
1777762664,50,,Aggregated,64.100000,0.000000,85,130,170,200,300,450,640,740,880,990,990,3018,0,85,135.10518098068775,9.977499998058192,985.4751999955624,706.2253147779986
1777762665,50,,Aggregated,64.200000,0.000000,85,130,170,200,300,440,630,740,880,990,990,3090,0,85,134.4925121682271,9.977499998058192,985.4751999955624,705.8229773462783
1777762666,50,,Aggregated,62.600000,0.000000,85,130,160,200,290,430,620,740,880,990,990,3148,0,85,133.57593418037914,9.977499998058192,985.4751999955624,704.7210927573062
1777762667,50,,Aggregated,63.800000,0.000000,85,130,160,190,290,430,610,740,880,990,990,3219,0,85,132.75788372159872,9.977499998058192,985.4751999955624,704.3103448275862
1777762668,50,,Aggregated,63.500000,0.000000,85,130,160,190,290,430,600,740,880,990,990,3283,0,85,131.64677831245265,9.977499998058192,985.4751999955624,703.8745050258909
