Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777762228,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777762229,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777762230,10,,Aggregated,0.000000,0.000000,1700,1700,1800,1800,1800,1800,1800,1800,1800,1800,1800,3,0,1703.9734999998473,1743.960866665778,1703.9734999998473,1822.512699989602,698.0
1777762231,10,,Aggregated,0.000000,0.000000,1700,1800,2200,2200,2800,2800,2800,2800,2800,2800,2800,7,0,1700,1711.5414142858103,12.751700007356703,2822.7475000021514,704.2857142857143
1777762232,10,,Aggregated,0.000000,0.000000,1800,2400,2500,2500,2800,2800,2800,2800,2800,2800,2800,11,0,1800,1792.1898272721921,12.751700007356703,2822.7475000021514,723.2727272727273
1777762233,10,,Aggregated,1.000000,0.000000,2200,2400,2500,2800,2800,3600,3600,3600,3600,3600,3600,15,0,2200,1869.298200000776,11.620400007814169,3567.9845999984536,777.5333333333333
1777762235,10,,Aggregated,1.750000,0.000000,2300,2500,2500,2800,3000,3600,3600,3600,3600,3600,3600,20,0,2200,1906.795090000378,11.620400007814169,3567.9845999984536,714.9
1777762236,10,,Aggregated,2.500000,0.000000,2200,2400,2500,2500,2800,3000,3600,3600,3600,3600,3600,28,0,2100,1686.5625785721932,11.620400007814169,3567.9845999984536,670.1071428571429
1777762237,10,,Aggregated,2.500000,0.000000,1800,2300,2400,2400,2800,3000,3600,3600,3600,3600,3600,36,0,1700,1386.891291667578,11.620400007814169,3567.9845999984536,644.2222222222222
1777762238,10,,Aggregated,2.857143,0.000000,1600,2200,2400,2400,2800,3000,3600,3600,3600,3600,3600,49,0,1600,1215.2568061232605,10.829599996213801,3567.9845999984536,695.6734693877551
1777762239,10,,Aggregated,3.375000,0.000000,67,1700,2200,2400,2500,2800,3100,3600,3600,3600,3600,62,0,65,990.8948983877875,10.829599996213801,3567.9845999984536,686.8548387096774
1777762240,10,,Aggregated,4.900000,0.000000,63,1200,2100,2200,2500,2800,3100,3600,3600,3600,3600,76,0,63,819.4469368427235,10.829599996213801,3567.9845999984536,711.3157894736842
1777762241,10,,Aggregated,6.200000,0.000000,63,76,1700,2100,2500,2800,3100,3600,3600,3600,3600,88,0,63,715.5791363643816,10.829599996213801,3567.9845999984536,714.0681818181819
1777762242,10,,Aggregated,6.200000,0.000000,62,69,1600,2000,2400,2800,3100,3600,3600,3600,3600,99,0,62,642.9644161623648,10.829599996213801,3567.9845999984536,698.7474747474747
1777762243,10,,Aggregated,7.400000,0.000000,61,67,90,1700,2400,2500,3000,3100,3600,3600,3600,111,0,61,579.9379180187332,10.829599996213801,3567.9845999984536,711.1261261261261
1777762244,10,,Aggregated,8.400000,0.000000,62,66,88,1600,2400,2500,3000,3100,3600,3600,3600,124,0,61,526.5307870973746,10.829599996213801,3567.9845999984536,706.0806451612904
1777762245,10,,Aggregated,10.000000,0.000000,62,69,90,100,2300,2500,3000,3100,3600,3600,3600,141,0,62,470.9751120574875,10.829599996213801,3567.9845999984536,716.6737588652483
1777762246,10,,Aggregated,10.900000,0.000000,62,67,90,100,2200,2500,2800,3100,3600,3600,3600,151,0,62,444.2219993386561,10.829599996213801,3567.9845999984536,700.5364238410596
1777762247,10,,Aggregated,12.000000,0.000000,62,67,79,100,2200,2500,2800,3100,3600,3600,3600,162,0,61,418.20459197594045,10.829599996213801,3567.9845999984536,687.3148148148148
1777762248,10,,Aggregated,12.300000,0.000000,62,68,78,94,2100,2500,2800,3100,3600,3600,3600,176,0,62,389.75369772775923,10.829599996213801,3567.9845999984536,672.7443181818181
1777762249,10,,Aggregated,12.300000,0.000000,62,68,76,91,2100,2400,2800,3100,3600,3600,3600,188,0,62,368.9782478729111,10.829599996213801,3567.9845999984536,670.4308510638298
1777762250,10,,Aggregated,12.600000,0.000000,62,69,76,88,1800,2400,2800,3000,3600,3600,3600,201,0,62,349.6370656721048,10.829599996213801,3567.9845999984536,677.3383084577115
1777762251,10,,Aggregated,12.600000,0.000000,62,69,78,93,1700,2400,2800,3000,3600,3600,3600,214,0,62,337.0996397201469,10.829599996213801,3567.9845999984536,667.3224299065421
1777762252,10,,Aggregated,12.500000,0.000000,62,68,76,90,1700,2400,2800,3000,3600,3600,3600,227,0,62,321.0891638771556,10.829599996213801,3567.9845999984536,663.114537444934
1777762253,10,,Aggregated,12.400000,0.000000,61,67,75,87,1700,2400,2800,3000,3600,3600,3600,240,0,61,306.8296412503211,10.829599996213801,3567.9845999984536,663.0375
1777762254,10,,Aggregated,12.700000,0.000000,61,66,71,79,1200,2400,2500,3000,3600,3600,3600,252,0,61,295.0927563496017,10.829599996213801,3567.9845999984536,658.9126984126984
